method,path,module,controller,auth,csrf,caller,downstream,audience,scope,request_model,response_model,tenant_company_binding,campaign_binding,idempotency,rate_limit_expectation,middleware_only,browser_allowed,provider_callback,status
GET,/api/v1/integration/traces/<string:correlation_id>,call_center_campaign,CodestraIntegrationApiController.read_trace,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/traces,call_center_campaign,CodestraIntegrationApiController.read_trace_by_record,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/audit/<int:audit_id>,call_center_campaign,CodestraIntegrationApiController.read_audit,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/desired-state/<string:aggregate_type>/<string:public_id>,call_center_campaign,CodestraIntegrationApiController.read_desired_state,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/agents,call_center_campaign,CodestraIntegrationApiController.read_desired_state,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/agents/<string:public_id>,call_center_campaign,CodestraIntegrationApiController.read_desired_state,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/leads,call_center_campaign,CodestraIntegrationApiController.read_desired_state,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/leads/<string:public_id>,call_center_campaign,CodestraIntegrationApiController.read_desired_state,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/campaigns/<string:public_id>,call_center_campaign,CodestraIntegrationApiController.read_desired_state,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/health/live,call_center_campaign,CodestraServiceOperationsController.health_live,none,NO,PUBLIC,NONE,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
GET,/health,call_center_campaign,CodestraServiceOperationsController.health_live,none,NO,PUBLIC,NONE,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
GET,/health/ready,call_center_campaign,CodestraServiceOperationsController.health_ready,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/ready,call_center_campaign,CodestraServiceOperationsController.health_ready,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/.well-known/codestra-service,call_center_campaign,CodestraServiceOperationsController.service_attestation,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/version,call_center_campaign,CodestraServiceOperationsController.service_attestation,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/metrics,call_center_campaign,CodestraServiceOperationsController.metrics,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/codestra/integration/v1/results,call_center_campaign,CodestraLegacyIntegrationResultController.retired_result_callback,none,NO,NONE_RETIRED,NONE,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,RETIRED
POST,/api/v1/integration/campaigns/actual-state,codestra_campaign_control_plane,CampaignIntegrationController.write_actual_state,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
POST,/api/v1/integration/campaigns/read,codestra_campaign_control_plane,CampaignIntegrationController.read_campaign,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
POST,/api/v1/integration/desired-state/read,codestra_campaign_control_plane,CampaignIntegrationController.read_desired_state,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
POST,/platform/v1/campaigns,codestra_campaign_control_plane,CampaignPlatformController.create_campaign,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
GET,/platform/v1/campaigns/<string:public_id>,codestra_campaign_control_plane,CampaignPlatformController.read_campaign,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
POST,/platform/v1/campaigns/<string:public_id>/validate,codestra_campaign_control_plane,CampaignPlatformController.validate_campaign,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
POST,/platform/v1/campaigns/<string:public_id>/provision,codestra_campaign_control_plane,CampaignPlatformController.provision_campaign,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
POST,/platform/v1/campaigns/<string:public_id>/synthetic-test,codestra_campaign_control_plane,CampaignPlatformController.synthetic_test_campaign,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
POST,/platform/v1/campaigns/<string:public_id>/activate,codestra_campaign_control_plane,CampaignPlatformController.activate_campaign,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
POST,/platform/v1/campaigns/<string:public_id>/disable,codestra_campaign_control_plane,CampaignPlatformController.disable_campaign,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
POST,/platform/v1/campaigns/<string:public_id>/reconcile,codestra_campaign_control_plane,CampaignPlatformController.reconcile_campaign,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
POST,/platform/v1/campaigns/<string:public_id>/rollback,codestra_campaign_control_plane,CampaignPlatformController.rollback_campaign,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
GET,/platform/v1/campaigns/<string:public_id>/actual-state,codestra_campaign_control_plane,CampaignPlatformController.read_actual_state,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
GET,/platform/v1/campaigns/<string:public_id>/provisioning-runs,codestra_campaign_control_plane,CampaignPlatformController.provisioning_runs,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
POST,/cc/api/v1/me/workspace,codestra_campaign_control_plane,CampaignWorkspaceApi.workspace,user,NO,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/cc/api/v1/applications,codestra_campaign_control_plane,CampaignWorkspaceApi.applications,user,NO,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/cc/api/v1/templates,codestra_campaign_control_plane,CampaignWorkspaceApi.templates,user,NO,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/cc/api/v1/templates/<int:template_id>,codestra_campaign_control_plane,CampaignWorkspaceApi.template_detail,user,NO,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/api/v1/integration/campaign-actions,codestra_campaign_crm_os,CodestraCampaignAutomationActionController.apply_campaign_actions,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/contact-center/agent,codestra_cc_identity,ContactCenterLandingController.agent_landing,user,NO,BROWSER_USER,NONE,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
GET,/contact-center/supervisor,codestra_cc_identity,ContactCenterLandingController.supervisor_landing,user,NO,BROWSER_USER,NONE,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
ANY,/my/codestra,codestra_client_portal,CodestraClientPortal.codestra_dashboard,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
ANY,/my/codestra/contracts/<int:contract_id>,codestra_client_portal,CodestraClientPortal.codestra_contract,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/provisioning/v1/callback,codestra_identity_provisioning,ProvisioningCallbackController.provisioning_callback,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,YES,REVIEW_SUDO
GET,/codestra/provisioning/v1/monitoring/agents,codestra_identity_provisioning,ProvisioningMonitoringController.monitoring_agents,user,NO,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/api/v1/leads/automation/apply,codestra_lead_automation,LeadAutomationController.apply,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/codestra/metrics,codestra_metrics,CodestraMetricsController.metrics,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/codestra/middleware/v1/klyrow/events,codestra_middleware_bridge,CodestraMiddlewareBridge.klyrow_event_projection,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/codestra/middleware/v1/klyrow/events/<string:operation_id>,codestra_middleware_bridge,CodestraMiddlewareBridge.klyrow_event_projection_status,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET;POST,/codestra/middleware/v1/crm/leads,codestra_middleware_bridge,CodestraMiddlewareBridge.crm_lead_create,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/codestra/middleware/v1/commands/crm.lead.upsert,codestra_middleware_bridge,CodestraMiddlewareBridge.crm_lead_upsert_command,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/codestra/middleware/v1/commands/<string:command_id>/status,codestra_middleware_bridge,CodestraMiddlewareBridge.crm_command_status,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET;PATCH,/codestra/middleware/v1/crm/leads/<string:external_id>,codestra_middleware_bridge,CodestraMiddlewareBridge.crm_lead,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/codestra/middleware/v1/crm/activities,codestra_middleware_bridge,CodestraMiddlewareBridge.crm_activity_create,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/codestra/middleware/v1/email-events,codestra_middleware_bridge,CodestraMiddlewareBridge.email_event,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/codestra/middleware/v1/contacts,codestra_middleware_bridge,CodestraMiddlewareBridge.create_contact,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET;PATCH,/codestra/middleware/v1/contacts/<int:partner_id>,codestra_middleware_bridge,CodestraMiddlewareBridge.contact,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/codestra/middleware/v1/contacts/<int:partner_id>/activities,codestra_middleware_bridge,CodestraMiddlewareBridge.activity,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/codestra/middleware/v1/contacts/<int:partner_id>/status,codestra_middleware_bridge,CodestraMiddlewareBridge.status,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET;POST,/codestra/middleware/v1/customer-profiles,codestra_middleware_bridge,CodestraMiddlewareBridge.customer_profiles,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET;PATCH,/codestra/middleware/v1/customer-profiles/<int:profile_id>,codestra_middleware_bridge,CodestraMiddlewareBridge.customer_profile,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET;POST,/codestra/middleware/v1/customer-profiles/<int:profile_id>/notes,codestra_middleware_bridge,CodestraMiddlewareBridge.customer_profile_notes,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
PATCH,/codestra/middleware/v1/notes/<int:note_id>,codestra_middleware_bridge,CodestraMiddlewareBridge.note_update,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET;POST,/codestra/middleware/v1/customer-profiles/<int:profile_id>/tasks,codestra_middleware_bridge,CodestraMiddlewareBridge.customer_profile_tasks,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
PATCH,/codestra/middleware/v1/tasks/<int:task_id>,codestra_middleware_bridge,CodestraMiddlewareBridge.task_update,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/codestra/middleware/v1/tasks/<int:task_id>/complete,codestra_middleware_bridge,CodestraMiddlewareBridge.task_complete,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET;POST,/codestra/middleware/v1/tickets,codestra_middleware_bridge,CodestraMiddlewareBridge.tickets,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET;PATCH,/codestra/middleware/v1/tickets/<int:ticket_id>,codestra_middleware_bridge,CodestraMiddlewareBridge.ticket,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/observability/kpis,codestra_observability_integration,CodestraKyyowObservabilityApi.create_kpi,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/observability/incidents,codestra_observability_integration,CodestraKyyowObservabilityApi.upsert_incident,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/observability/kpis,codestra_observability_integration,CodestraKyyowObservabilityApi.read_kpi,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/observability/incidents,codestra_observability_integration,CodestraKyyowObservabilityApi.read_incident,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
